Source;Target;Type;Weight
36360816693;5160;Directed;-89
36360816693;59;Directed;-80
36360816693;58;Directed;-85
36360816693;5168;Directed;-88
36360816693;54;Directed;-81
36360816693;57;Directed;-76
36360816693;50;Directed;-68
36360816693;524;Directed;-82
36360816693;518;Directed;-86
36360816693;520;Directed;-81
36360816693;522;Directed;-89
36360816693;523;Directed;-87
36360816693;513;Directed;-74
36360816693;512;Directed;-81
132;139;Directed;None
132;136;Directed;None
132;1214;Directed;None
132;1117;Directed;None
130;178;Directed;None
130;179;Directed;None
130;1214;Directed;None
130;1134;Directed;None
136;1211;Directed;None
136;198;Directed;-70
136;1214;Directed;-67
136;1133;Directed;-78
136;192;Directed;-67
136;182;Directed;-79
136;132;Directed;None
136;180;Directed;-69
136;181;Directed;-79
136;1221;Directed;None
136;1117;Directed;-76
136;1108;Directed;None
90;9;Directed;-78
90;93;Directed;-79
90;92;Directed;None
90;95;Directed;-74
90;104459421554;Directed;-78
139;151;Directed;-88
139;1214;Directed;-90
139;140;Directed;None
139;1133;Directed;-83
139;182;Directed;-85
139;132;Directed;None
139;180;Directed;-83
139;136;Directed;-82
139;1117;Directed;-88
139;1221;Directed;None
92;90;Directed;None
95;90;Directed;-76
95;93;Directed;-68
95;104459421554;Directed;-84
3;3201;Directed;None
3;3200;Directed;None
3;3;Directed;-57
3;3195;Directed;-69
3;3190;Directed;-72
3;3199;Directed;-89
818;832;Directed;-83
818;830;Directed;-87
818;86;Directed;-88
818;819;Directed;-76
818;825;Directed;-73
818;225877267718;Directed;-82
818;817;Directed;-58
819;818;Directed;-74
819;225877267718;Directed;-49
819;817;Directed;-64
104459421554;2206;Directed;-79
104459421554;2207;Directed;None
104459421554;2209;Directed;-64
104459421554;9;Directed;-64
104459421554;2197;Directed;-78
104459421554;2165;Directed;-81
104459421554;2199;Directed;-79
104459421554;95;Directed;-84
104459421554;90;Directed;0
810;813;Directed;None
810;814;Directed;None
811;812;Directed;None
811;89;Directed;None
812;811;Directed;None
812;89;Directed;None
813;832;Directed;None
813;810;Directed;None
813;89;Directed;None
813;825;Directed;None
813;811;Directed;None
813;827;Directed;None
813;81;Directed;None
813;814;Directed;None
813;87;Directed;None
813;823;Directed;None
814;810;Directed;None
814;813;Directed;None
815;830;Directed;-83
815;88;Directed;-78
815;825;Directed;-82
815;86;Directed;-87
815;823;Directed;None
815;822;Directed;None
817;818;Directed;-55
817;819;Directed;-59
817;225877267718;Directed;-52
719;77;Directed;-68
719;716;Directed;-87
719;713;Directed;-73
717;76;Directed;-73
716;77;Directed;-64
716;79831339542;Directed;-84
716;713;Directed;-71
716;719;Directed;-86
716;720;Directed;-81
715;714;Directed;None
715;74;Directed;None
715;73;Directed;-62
715;71;Directed;-56
715;721;Directed;-58
715;722;Directed;-85
714;715;Directed;None
714;74;Directed;None
714;70;Directed;None
713;77;Directed;-62
713;716;Directed;-70
713;724;Directed;-76
713;719;Directed;-68
713;79831339542;Directed;-82
712;76;Directed;-59
712;78;Directed;-49
712;723;Directed;-46
712;711;Directed;-54
712;72;Directed;-77
711;712;Directed;-66
711;76;Directed;-51
711;72;Directed;-81
711;70;Directed;None
711;78;Directed;-37
711;79;Directed;None
711;723;Directed;-55
79831339542;716;Directed;-87
79831339542;713;Directed;-87
59;58;Directed;-81
59;5168;Directed;-76
59;54;Directed;-84
59;50;Directed;-79
59;519;Directed;-87
59;527;Directed;None
59;520;Directed;-82
59;522;Directed;-86
59;513;Directed;-86
59;515;Directed;None
58;5160;Directed;-64
58;59;Directed;-80
58;5168;Directed;-83
58;54;Directed;-76
58;50;Directed;-65
58;525;Directed;-84
58;527;Directed;None
58;520;Directed;-72
58;522;Directed;0
58;523;Directed;-72
58;5164;Directed;-59
58;513;Directed;-83
58;512;Directed;-74
58;528;Directed;None
58;514;Directed;-83
55;520;Directed;-74
55;516;Directed;-86
55;515;Directed;None
55;50;Directed;-100
55;59;Directed;-101
54;5160;Directed;-72
54;519;Directed;-78
54;512;Directed;-66
54;5164;Directed;-85
54;58;Directed;-72
54;5168;Directed;-86
54;57;Directed;-88
54;510;Directed;-86
54;50;Directed;-63
54;514;Directed;-65
54;524;Directed;-83
54;525;Directed;-80
54;527;Directed;None
54;520;Directed;-66
54;522;Directed;-77
54;523;Directed;-59
54;59;Directed;-82
54;513;Directed;-72
54;5;Directed;-86
54;528;Directed;None
